METH	UNIT	M_DESCR
821	Stand	1=very susceptible; 3=susceptible; 5=medium; 7=tolerant; 9=highly tolerant
824	Perc	Resistance to Fusarium oxysporum f.sp. conglutinans race 2. Scores: % resistant plants
825	Perc	Resistance to  Alternaria brassicola. Scores: % highly tolerant plants
826	State	R=resistant, S= susceptible to some tolerance
828	State	Resistance to race 7 (formerly race 5), R=resistant, S=susceptible
830	Perc	Adjusted ISTA method, 200 seeds, cold period 4 days at 5°C.
832	Perc	Resistance to B. lactucae race FS1 (Freising, BY,1996), % sporulation (100=completely susceptible, 0=comp resistant)
834	Perc	Resistance to B. lactucae race SAW1 (Salzwedel, BY,1996),% sporulation (100=completely susceptible, 0=comp resistant)
836	Stand	1=low percentage surviving plants; 9=relatively high percentage surviving plants
838	Num	number pure hybrid plants per 100 pollinated buds
839	State	of center leaf: 1=yellowgr, 2=l.green, 3=green, 4=dark green, 5=purple green, 6=purple, 7=other
841	Stand	Bottom of head. 1=very rough (Golden Acre type); 9= very smooth (storage type)
842	Stand	1= very white; 9=very yellow
844	State	Resistance to B. lactucae race Bl 2 (NL2, EU-A 63/58/00/01), scale: 1= resistant - 9= susceptible, C= conflicting data
846	State	Resistance to B. lactucae race Bl 4 (NL4, EU-A 27/59/00/00), scale: 1= resistant - 9= susceptible, C= conflicting data
848	State	Resistance to B. lactucae race Bl 6 (NL6, EU-A 27/62/00/00), scale: 1= resistant - 9= susceptible, C= conflicting data
850	State	Resistance to B. lactucae race Bl 10 (NL10, EU-A 63/59/00/00), scale: 1= resistant - 9= susceptible, C= conflicting data
852	State	Resistance to B. lactucae race Bl 12 (NL12, EU-A 57/63/03/00), scale: 1= resistant - 9= susceptible, C= conflicting data
854	State	Resistance to B. lactucae race Bl 14 (NL14, EU-A 63/62/00/00), scale: 1= resistant - 9= susceptible, C= conflicting data
856	State	Resistance to B. lactucae race Bl 16 (NL16, EU-A 63/31/02/00), scale: 1= resistant - 9= susceptible, C= conflicting data
857	State	Resistance to B. lactucae race Bl 17 (EU-A 22/59/41/00), scale: 1= resistant - 9= susceptible, C= conflicting data
858	State	Resistance to B. lactucae race Bl 18 (EU-A 59/31/10/00), scale: 1= resistant - 9= susceptible, C= conflicting data
859	State	Resistance to B. lactucae race Bl 19 (EU-A 63/62/00/01), scale: 1= resistant - 9= susceptible, C= conflicting data
860	State	Resistance to B. lactucae race Bl 20 (EU-A 63/31/10/00), scale: 1= resistant - 9= susceptible, C= conflicting data
861	State	Resistance to B. lactucae race Bl 21 (EU-A 63/31/51/00), scale: 1= resistant - 9= susceptible, C= conflicting data
862	State	Resistance to B. lactucae race Bl 22 (EU-A 59/63/09/00), scale: 1= resistant - 9= susceptible, C= conflicting data
1115	Perc	Standaard ISTA methode using 100 seeds, TP 20-30°C
1131	Perc	Seed germination in petridishes, using 100 seeds at room temperature alternately with 3 days in refrigerator
1174	Perc	Seeds germinated Top Of Paper, Light (TPL), cutting seedtop/cracking seeds, using 100 seeds, 22-25°C, counting healthy seedlings
1175	Perc	Seeds germinated Top Of Paper, Light (TPL), using 100 seeds, 22-25°C, counting healthy seedlings
1176	Perc	Seeds germinated in soil, using 100 seeds, in heated greenhouse in autumn and counting healthy seedlings
1177	Perc	Seeds germinated in soil, using 200 seeds, in heated greenhouse in autumn and counting healthy seedlings
1178	Perc	Seeds germinated in petridish, using 50 seeds, after cold treatment and cutting the seedtop at room temperature
1179	Perc	Seeds germinated in soil, using 50 seeds, after coldtreatment in heated greenhouse in winter and counting healthy seedlings
1143	Fract.	Resistance to P. farinosa f. sp. spinaciae Pfs1; weigthed avg of the number of susceptible (0), partially resistant (0.5) and resistant (1) plants; avg score of duplo's presented, range: 0 = susceptible - 1 = resistant, C= duplo's differing >0.5.
1144	Fract.	Resistance to P. farinosa f. sp. spinaciae Pfs2; weigthed avg of the number of susceptible (0), partially resistant (0.5) and resistant (1) plants; avg score of duplo's presented, range: 0 = susceptible - 1 = resistant, C= duplo's differing >0.5.
1145	Fract.	Resistance to P. farinosa f. sp. spinaciae Pfs3; weigthed avg of the number of susceptible (0), partially resistant (0.5) and resistant (1) plants; avg score of duplo's presented, range: 0 = susceptible - 1 = resistant, C= duplo's differing >0.5.
1146	Fract.	Resistance to P. farinosa f. sp. spinaciae Pfs4; weigthed avg of the number of susceptible (0), partially resistant (0.5) and resistant (1) plants; avg score of duplo's presented, range: 0 = susceptible - 1 = resistant, C= duplo's differing >0.5.
1147	Fract.	Resistance to P. farinosa f. sp. spinaciae Pfs5; weigthed avg of the number of susceptible (0), partially resistant (0.5) and resistant (1) plants; avg score of duplo's presented, range: 0 = susceptible - 1 = resistant, C= duplo's differing >0.5.
1148	Fract.	Resistance to P. farinosa f. sp. spinaciae Pfs6; weigthed avg of the number of susceptible (0), partially resistant (0.5) and resistant (1) plants; avg score of duplo's presented, range: 0 = susceptible - 1 = resistant, C= duplo's differing >0.5.
1149	Fract.	Resistance to P. farinosa f. sp. spinaciae Pfs7; weigthed avg of the number of susceptible (0), partially resistant (0.5) and resistant (1) plants; avg score of duplo's presented, range: 0 = susceptible - 1 = resistant, C= duplo's differing >0.5.
1150	Fract.	Resistance to P. farinosa f. sp. spinaciae Pfs8; weigthed avg of the number of susceptible (0), partially resistant (0.5) and resistant (1) plants; avg score of duplo's presented, range: 0 = susceptible - 1 = resistant, C= duplo's differing >0.5.
1151	Fract.	Resistance to P. farinosa f. sp. spinaciae Pfs10; weigthed avg of the number of susceptible (0), partially resistant (0.5) and resistant (1) plants; avg score of duplo's presented, range: 0 = susceptible - 1 = resistant, C= duplo's differing >0.5.
1152	Fract.	Resistance to P. farinosa f. sp. spinaciae Pfs11; weigthed avg of the number of susceptible (0), partially resistant (0.5) and resistant (1) plants; avg score of duplo's presented, range: 0 = susceptible - 1 = resistant, C= duplo's differing >0.5.
1153	Fract.	Resistance to P. farinosa f. sp. spinaciae Pfs12; weigthed avg of the number of susceptible (0), partially resistant (0.5) and resistant (1) plants; avg score of duplo's presented, range: 0 = susceptible - 1 = resistant, C= duplo's differing >0.5.
1154	Fract.	Resistance to P. farinosa f. sp. spinaciae Pfs13; weigthed avg of the number of susceptible (0), partially resistant (0.5) and resistant (1) plants; avg score of duplo's presented, range: 0 = susceptible - 1 = resistant, C= duplo's differing >0.5.
1155	Fract.	Resistance to P. farinosa f. sp. spinaciae Pfs14; weigthed avg of the number of susceptible (0), partially resistant (0.5) and resistant (1) plants; avg score of duplo's presented, range: 0 = susceptible - 1 = resistant, C= duplo's differing >0.5.
1156	Fract.	Resistance to P. farinosa f. sp. spinaciae Pfs15; weigthed avg of the number of susceptible (0), partially resistant (0.5) and resistant (1) plants; avg score of duplo's presented, range: 0 = susceptible - 1 = resistant, C= duplo's differing >0.5.
1166	Perc	Percentage of seedlings without virus symptoms and no virus detected after ELISA
1167	Perc	Seeds germinated in soil, using 100 seeds, in heated greenhouse in summer and counting healthy seedlings
1168	Perc	Seeds germinated in soil, using 200 seeds, in heated greenhouse in summer and counting healthy seedlings
1169	Perc	Seeds germinated in soil, using 200 seeds, in unheated greenhouse in summer and counting healthy seedlings
1170	Perc	Seeds germinated in soil, using 50 seeds, in unheated greenhouse in summer and counting healthy seedlings
1171	Perc	Seeds germinated in soil, using 50 seeds, in heated greenhouse in autum and counting healthy seedlings
1172	Perc	Seeds germinated in soil, using 50 seeds, (pre)treatment +4°C, unheated greenhouse in summer and counting healthy seedlings
1173	Perc	Seeds germinated in soil, using 100 seeds, (pre)treatment +4°C, unheated greenhouse in summer and counting healthy seedlings
1070	State	1 = absent, 2 = open head, 3 = closed head (overlapping),
1071	Stand	1 = very weak, 3 = weak, 5 = medium, 7 = strong, 9 = very strong
1072	Stand	1 = very loose, 3 = loose, 5 = medium, 7 = dense, 9 = very dense
1073	State	1 = narrow elliptic, 2 = broad elliptic, 3 = circular, 4 = transverse elliptic
1074	Stand	1 = very thin, 3 = thin, 5 = medium, 7 = thick, 9 = very thick
1075	State	1 = erect, 3 = semi-erect, 5 = horizontal
1076	Stand	1 = narrow elliptic, 2 = medium elliptic, 3 = broad elliptic, 4 = circular, 5 = transverse broad elliptic, 6 = transverse narrow elliptic, 7 = obovate, 8 = broad obtrullate, 9 = triangular
1077	State	1 = diffused only, 2 = spotted only, 3 = diffused and spotted
1078	State	1 = localised, 2 = entire
1079	State	Resistance to LMV strain Ls 1, scale: 1 = susceptible, 9 = tolerant
1080	State	Resistance to Nasonovia Nr 0, scale: 1 = susceptible, 9 = tolerant
1081	Stand	1 = very small, 3 = small, 5 = medium, 7 = large
1082	Stand	1 = absent or very weak, 3 = weak, 5 = medium, 7 = strong, 9 = very strong
1083	State	Resistance to B. lactucae race Bl 1, scale:1 = susceptible, 9 = resistant
1084	State	Resistance to B. lactucae race Bl 2, scale:1 = susceptible, 9 = resistant
1085	State	Resistance to B. lactucae race Bl 3, scale:1 = susceptible, 9 = resistant
1086	State	Resistance to B. lactucae race Bl 4, scale:1 = susceptible, 9 = resistant
1087	State	Resistance to B. lactucae race Bl 5, scale:1 = susceptible, 9 = resistant
1088	State	Resistance to B. lactucae race Bl 6, scale:1 = susceptible, 9 = resistant
1089	State	Resistance to B. lactucae race Bl 7, scale:1 = susceptible, 9 = resistant
1090	State	Resistance to B. lactucae race Bl 10, scale:1 = susceptible, 9 = resistant
1091	State	Resistance to B. lactucae race Bl 11, scale:1 = susceptible, 9 = resistant
1092	State	Resistance to B. lactucae race Bl 12, scale:1 = susceptible, 9 = resistant
1093	State	Resistance to B. lactucae race Bl 13, scale:1 = susceptible, 9 = resistant
1094	State	Resistance to B. lactucae race Bl 14, scale:1 = susceptible, 9 = resistant
1095	State	Resistance to B. lactucae race Bl 15, scale:1 = susceptible, 9 = resistant
1096	State	Resistance to B. lactucae race Bl 16, scale:1 = susceptible, 9 = resistant
1097	State	Resistance to B. lactucae race Bl 17, scale:1 = susceptible, 9 = resistant
1098	State	Resistance to B. lactucae race Bl 18, scale:1 = susceptible, 9 = resistant
1099	State	Resistance to B. lactucae race Bl 19, scale:1 = susceptible, 9 = resistant
1100	State	Resistance to B. lactucae race Bl 20, scale:1 = susceptible, 9 = resistant
1101	State	Resistance to B. lactucae race Bl 21, scale:1 = susceptible, 9 = resistant
1102	State	Resistance to B. lactucae race Bl 22, scale:1 = susceptible, 9 = resistant
1103	State	Resistance to B. lactucae race Bl 23, scale:1 = susceptible, 9 = resistant
1104	State	Resistance to B. lactucae race Bl 24, scale:1 = susceptible, 9 = resistant
1105	State	Resistance to B. lactucae race Bl 25, scale:1 = susceptible, 9 = resistant
1106	State	Resistance to B. lactucae race Bl 26, scale:1 = susceptible, 9 = resistant
1107	State	1 = globular without collar
1108	Stand	1 = very erect, 3 = erect, 5 = semi-erect, 7 = horizontal
1109	Stand	1 = very narrow, 3 = narrow, 5 = medium, 7 = broad, 9 = very broad
1110	State	1 = elliptic, 2 = obovate, 3 = spatulate
1111	State	1 = absent
1112	State	1 = absent or very weak
1113	State	Resistance to Peronospora valerianellae fysio 1, scale:  1 = susceptible, 9 = resistant
1114	State	Resistance to Peronospora valerianellae fysio 2, scale:  1 = susceptible, 9 = resistant
1116	Days	Untreated, number of days between germination and bolting, > = not bolting during experiment
1117	Days	Vernalized, number of days between germination and bolting, > = not bolting during experiment
1118	Days	Untreated, umber of days between germination and first seed release, > = no seed release during experiment
1119	Days	Vernalized, umber of days between germination and first seed release, > = no seed release during experiment
1120	Num	Untreated, number of leaves at bolting time, > = not bolting during experiment
1121	Num	Vernalized, number of leaves at bolting time, > = not bolting during experiment
1122	mm	Untreated, stem length from soil surface to the end of the inflorescence at seed release time, > = no seed release during experiment
1123	mm	Vernalized, stem length from soil surface to the end of the inflorescence at seed release time, > = no seed release during experiment
1124	g	Untreated, total seed weight at harvesting time, > = no seed release during experiment
1125	g	Vernalized, total seed weight at harvesting time, > = no seed release during experiment
1126	g	Untreated, dry weight of above ground biomass at harvesting time
1127	g	Vernalized, dry weight of above ground biomass at harvesting time
1130	Scale	0 = no symptoms, 1 = one leaf wilted, 2 = more than one leaf but < 50% of leaves are wilted, 3 = between 50-75% of leaves are wilted, 4 = more than 75% but not all leaves are wilted, 5 = whole plant wilted and death
1165	Stand.	Pa3 nematode closed container test, 3 replicates. Inoculum population comparable with E400. (1=susc., 9=resistant)
1180	Perc	Broken fruits, sprayed with water during 3 days, germinating in cold glasshouse in autum and winter, vary with 3 days of 4 C, during 2-6 months, using 50 seeds
1135	Perc	Standard ISTA method, using 100 seeds, pretreatment 24 hours soaking with 700 ppm GA3 in the dark TPL 20°C
1136	Perc	Standard ISTA method, using 200 seeds, PPL 20°C
1137	Perc	Standard ISTA method, using 200 seeds, TPL 20-30°C and cutting the seedcoat
1138	Perc	Seeds germinated in petridish, using 50 seeds, room temperature,alternately refrigerator for breaking dormancy
1157	Perc	Seeds germinated in soil, using 25-50 seeds in greenhouse
1164	Perc	Seeds germinated in petridish, using 100 seeds
1132	State	1 = not uniform...5 = uniform
1139	Perc	Standard ISTA method using 100 seeds, pretreatment 2 days 10°C, KNO3, TPL 20-30, 8h light.
1140	Perc	Unheated greenhouse, using 150 seeds, counting healthy seedlings.
1141	Perc	Standard ISTA method, using 100 seeds, without pretreatment 3 days 5°C, TPL 20 C. Scored by using 3rd ed. ISTA Handb.On Seedl.Eval with amendment of 2009
1181	Perc	Seeds germinated in petridish, using 50 seeds, 15°C temperature day and night
1182	Perc	Seeds germinated in soil, using 100 seeds, in heated greenhouse in spring and counting healthy seedlings
1128	Perc	Standard ISTA method, using 200 seeds, pretreatment 24 hours soaking with 700 ppm GA3 in the dark TPL 20°C
1129	Perc	Broken fruits, sprayed with water during 3 days, germinating in glasshouse at 15-20°C, vary with 3 days of 4 C, during 2 months, using 100 seeds
1133	Scale	1 = pale green/some yellowing.....5 = very dark green
1134	State	1 =  shrivelled leaves lying flat to the ground...5 = very upright with no leaves in contact with the soil
1142	Perc	Seeds germinated in petridish, using 25-50 seeds and 30°C
1158	Perc	Seeds germinated in soil, using 100 seeds, in unheated greenhouse in summer and counting healthy seedlings
1159	Stand	Resistance to a mixture of B. lactucae races Bl:29 (EU-B 59-63-47-03) and Bl:31 (EU-B 63-63-12-06) and isolate AS-11 (63-31-58-01), scoring: 1=resistant, 9=susceptible
1160	Perc	Standard ISTA method, using 200 seeds. Pretreatment 3 days 5C, TPL 20C. Scored by using 3rd ed. ISTA Handb. On Seedl. Eval with amendment of 2009
1161	Perc	Standard ISTA method, using 200 seeds, TPL 20-30 C
1162	Perc	Greenhouse tests (unheated in summer, heated in winter) using 100 seeds, pretreatment 24 hours soaking with 700 ppm GA3 in the dark, counting healty seedlings
1163	Perc	Unheated greenhouse tests in summer, using 200 seeds, pretreatment 24 hours soaking with 700 ppm GA3 in the dark, counting healty seedlings
1185	Perc	100 seeds germinated TOP, after cold treatment of 4 days at +4 C, 8 hrs light (TPL) T 20-30 C
1186	Perc	200 seeds germinated TOP, after cold treatment of 4 days at +4 C, 8 hrs light (TPL) T 20-30 C
1184	Perc	Seed germination test in petridish, using 50 seeds at room temperature, counting healty seedlings
